gloss,diff,high,low,stem_gloss,molly_pos
funny,0.004901960784313725,0.0196078431372549,0.014705882352941176,funny,Adjective
heavy,0.004901960784313725,0.00980392156862745,0.004901960784313725,heavy,Adjective
high+chair,0.004901960784313725,0.004901960784313725,0,high,Adjective
lolly,0.004901960784313725,0.00980392156862745,0.004901960784313725,lolly,Adjective
lost,0.004901960784313725,0.00980392156862745,0.004901960784313725,lost,Adjective
naughty,0.004901960784313725,0.014705882352941176,0.00980392156862745,naughty,Adjective
noisy,0.004901960784313725,0.00980392156862745,0.004901960784313725,noisy,Adjective
post,0.004901960784313725,0.004901960784313725,0,post,Adjective
rolly,0.004901960784313725,0.004901960784313725,0,rolly,Adjective
sad,0.004901960784313725,0.004901960784313725,0,sad,Adjective
scary,0.004901960784313725,0.004901960784313725,0,scary,Adjective
silly,0.004901960784313725,0.00980392156862745,0.004901960784313725,silly,Adjective
steady,0.004901960784313725,0.004901960784313725,0,steady,Adjective
straight,0.004901960784313725,0.004901960784313725,0,straight,Adjective
sweet,0.004901960784313725,0.004901960784313725,0,sweet,Adjective
wee,0.004901960784313725,0.029411764705882353,0.024509803921568627,wee,Adjective
careful,0,0.004901960784313725,0.004901960784313725,careful,Adjective
clean,0,0.014705882352941176,0.014705882352941176,clean,Adjective
first,0,0.004901960784313725,0.004901960784313725,first,Adjective
good,0,0.029411764705882353,0.029411764705882353,good,Adjective
late,0,0.004901960784313725,0.004901960784313725,late,Adjective
old,0,0.004901960784313725,0.004901960784313725,old,Adjective
pretty,0,0.004901960784313725,0.004901960784313725,pretty,Adjective
quick,0,0.004901960784313725,0.004901960784313725,quick,Adjective
really,0,0.004901960784313725,0.004901960784313725,real,Adjective
scared,0,0.004901960784313725,0.004901960784313725,scar,Adjective
sick,0,0.004901960784313725,0.004901960784313725,sick,Adjective
small,0,0.004901960784313725,0.004901960784313725,small,Adjective
smelly,0,0.004901960784313725,0.004901960784313725,smelly,Adjective
sticky,0,0.00980392156862745,0.00980392156862745,sticky,Adjective
wet,0,0.014705882352941176,0.014705882352941176,wet,Adjective
bad,-0.004901960784313725,0,0.004901960784313725,bad,Adjective
biggest,-0.004901960784313725,0,0.004901960784313725,biggest,Adjective
cold,-0.004901960784313725,0.014705882352941176,0.0196078431372549,cold,Adjective
crunchy,-0.004901960784313725,0,0.004901960784313725,crunchy,Adjective
left,-0.004901960784313725,0,0.004901960784313725,left,Adjective
missing,-0.004901960784313725,0,0.004901960784313725,miss,Adjective
new,-0.004901960784313725,0.014705882352941176,0.0196078431372549,new,Adjective
polar,-0.004901960784313725,0,0.004901960784313725,polar,Adjective
same,-0.004901960784313725,0,0.004901960784313725,same,Adjective
sleepy,-0.004901960784313725,0.004901960784313725,0.00980392156862745,sleepy,Adjective
still,-0.004901960784313725,0,0.004901960784313725,still,Adjective
tall,-0.004901960784313725,0,0.004901960784313725,tall,Adjective
wide,-0.004901960784313725,0,0.004901960784313725,wide,Adjective
muddy,-0.00980392156862745,0,0.00980392156862745,muddy,Adjective
welcome,-0.00980392156862745,0,0.00980392156862745,welcome,Adjective
